seed,initial_path_layout,path_i_taken,path_ii_taken,all_paths_i_taken,all_paths_ii_taken
20,not working,[object Object],[object Object],"45,44,43,42,6,5,4,3,2,45,46,47,48,49,49,10,9,8,7,6,5,4,3,2,37,38,39,40,41,42,43,44,45,46,47,35,36,37,38,39,40,41,42,43,44,45,46,47,15,14,13,12,11,10,9,8,7,6,5,4,3,2,34,35,36,37,38,39,40,41,42,43,44,45,46,47,5,4,3,2,1,0,0,0,0,0,0,0,0,0,0,34,35,36,37,38,39,40,41,42,43,44,45,46,47","0,0,0,0,2,3,4,4,4,25,26,27,28,29,30,38,39,40,41,42,43,44,44,44,35,34,33,33,33,33,33,33,33,33,33,30,31,32,33,34,35,35,35,35,35,35,35,35,32,33,34,35,36,37,38,39,40,41,42,43,44,44,35,34,33,33,33,33,33,33,33,33,33,33,33,33,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,49,48,47,46,45,44,43,42,41,40,39,38,37,36"
21,not working,[object Object],[object Object],"49,48,47,48,49,17,16,15,14,13,12,11,4,3,2,1,0,0,0,41,42,43,44,45,46,47,48,45,46,47,48,49,49,49,49,49,49,49,49,48,47,48,49,5,4,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,17,18,19,19,20,21,21,21,21,21,21,21,21,21,21,21,21,21,21,24,23,22,21,20,20,19,18,17,16,15,14,13,12,11,10,9,8,7,48,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,48,47,48,49,37,36,35,34,33,32,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11","28,28,29,30,31,4,3,2,1,1,0,0,41,42,43,44,45,46,47,24,25,26,27,28,29,30,31,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,19,18,17,16,15,14,13,12,11,11,10,9,8,7,6,5,4,3,2,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0"
22,not working,[object Object],[object Object],"10,11,12,13,14,15,39,40,41,42,43,44,45,46,47,3,4,5,6,7,8,9,10,11,12,13,14,15,3,4,5,6,7,8,9,10,11,12,13,14,15,39,40,41,41,42,43,44,45,46,47,48,49,49,49,49,49,49,9,10,11,12,13,14,15,16,17,18,19,19,19,19,19,19,19,19,31,32,33,34,35,36,37,38,39,40,41,41,42,43,44,45,46,47,48,49,49,29,30,31,32,33,34,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,49,49,49,49,49,49,49,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,49,49,49,49,49,49,49,49,49,49,49,49,48,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49","43,44,45,46,47,48,34,35,36,37,38,39,40,41,42,49,49,49,49,49,49,49,49,49,49,49,48,49,47,48,49,49,49,49,49,49,49,49,49,48,49,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37"
23,not working,[object Object],[object Object],"8,9,23,24,25,26,27,28,21,20,19,18,17,16,15,10,9,8,7,6,5,4,3,3,2,1,2,3,4,5,6,7,8,9,10,29,28,27,26,25,24,23,22,21,20,19,18,17,16,32,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,23,24,25,26,27,28,28,27,28,28,28,28,28,28,28,28,28,34,33,33,32,31,30,29,28,27,26,26,26,26,26,26,26,26,27,26,26,26,26,26,26,26,26,26,26,48,47,46,45,44,43,42,41,40,39,38,37,36,35,34,33,32,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16","48,49,7,6,5,4,3,2,42,43,44,45,46,46,47,13,12,11,10,9,8,7,6,5,4,38,39,40,41,42,43,44,45,46,47,38,39,39,40,41,42,43,44,45,46,47,48,49,49,34,35,35,36,37,38,39,40,40,41,42,43,44,45,46,47,48,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,43,44,45,46,47,48,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49"
24,not working,[object Object],[object Object],"43,44,45,46,47,48,47,48,48,49,49,49,48,47,48,48,49,49,49,48,16,15,14,13,12,11,10,9,8,12,11,10,9,8,7,6,5,4,3,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,40,41,42,43,44,45,46,47,48,49,49,49,49,49,49,49,49,49,29,30,31,32,33,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34","31,32,33,34,35,36,49,48,47,46,45,44,43,49,48,47,46,45,44,43,42,43,44,45,46,47,48,49,49,11,10,9,8,7,6,5,4,3,2,43,42,41,40,39,38,38,39,38,38,38,38,38,38,38,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,35,36,37,38,39,39,39,39,39,39,38,39,39,39,39,39,39,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2"
25,not working,[object Object],[object Object],"49,40,39,38,37,36,34,33,32,31,31,31,40,41,42,43,44,45,46,47,39,38,37,36,35,34,34,34,34,34,34,34,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,21,22,22,22,22,22,22,22,22,21,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,11,12,13,14,15,16,17,18,18,19,20,21,21,21,21,21,21,20,21,21,21,20,21,21,21,21","44,3,2,1,0,0,7,6,5,4,3,2,45,44,43,42,42,42,42,43,13,12,11,10,9,8,7,6,5,4,3,2,42,41,40,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,38,39,40,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,37,38,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2"
26,not working,[object Object],[object Object],",49,49,35,36,37,38,39,40,41,42,43,44,45,46,47,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,5,4,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47",",16,16,12,12,12,12,12,12,12,12,12,12,12,12,12,33,34,35,36,37,38,39,40,40,40,40,40,40,40,40,40,11,10,9,8,7,6,5,5,5,5,5,5,4,5,5,5,5,5,5,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,42,42,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,34,35,36,37,38,39,40,41,41,41,42,41,41,41,41,42,41,41,41,41,41,41,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40"
27,not working,[object Object],[object Object],"37,38,39,44,44,44,44,44,40,41,42,43,44,44,44,44,44,44,27,28,29,30,31,32,33,34,35,36,37,38,39,41,40,39,38,37,36,35,34,33,32,31,30,29,28,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,46,45,44,43,42,41,40,39,38,37,36,35,34,33,32,31,30,29,28,32,33,34,34,35,36,37,38,39,40,41,42,43,44,44,44,44,44,44,44,44,44,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,5,6,7,8,9,10,11,12,12,12,12,12,12,12,12,12,12,12,12,11,12,12,12,12","49,49,49,43,44,45,46,47,38,39,40,41,42,43,44,45,46,47,40,41,42,42,43,44,45,46,47,48,49,49,49,15,14,13,12,11,10,9,8,7,6,5,4,3,2,43,44,45,46,46,47,48,49,49,49,49,49,49,49,49,49,49,49,19,18,17,16,15,14,13,12,11,10,9,8,7,6,6,5,4,3,2,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,40,41,42,42,43,44,45,46,47,48,49,49,49,49,49,49,49,49,49,49,49,49,49,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2"
28,not working,[object Object],[object Object],"26,48,49,49,48,47,48,48,49,49,49,48,49,49,46,47,48,49,49,48,49,49,38,39,40,41,42,43,44,45,46,47,12,11,10,9,8,7,6,5,4,3,2,13,12,11,10,9,8,7,6,5,4,3,2,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47","2,7,8,9,10,11,12,48,47,46,45,44,43,42,49,48,47,46,45,44,43,42,7,8,9,10,11,12,13,14,15,15,49,48,47,46,46,46,46,46,45,46,46,43,43,43,43,43,43,43,43,43,43,43,43,33,34,35,36,37,38,39,40,41,42,43,44,45,45,45,45,45,46,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0,0,29,30,31,32,33,34,35,36,37,37,38,38,38,38,38,38,38,38,38,38,38,38,38,38"
29,not working,[object Object],[object Object],"2,0,5,4,3,2,40,41,42,43,44,45,46,47,12,11,10,9,8,7,6,5,4,3,2,13,12,11,10,9,8,7,6,5,4,3,2,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49","8,44,44,43,42,41,46,45,44,43,43,43,43,43,17,16,15,14,13,13,12,11,10,9,9,19,18,17,16,15,14,13,12,11,10,9,9,24,25,26,27,28,29,30,31,32,33,33,33,33,33,32,34,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,32,27,28,29,30,31,32,33,34,35,34,34,34,34,34,34,34,34,34,34,34,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41"
30,not working,[object Object],[object Object],"32,33,34,34,45,44,43,42,41,40,39,38,37,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,29,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,5,6,7,8,9,10,11,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,30,30,30,30,30,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47","44,45,46,47,40,41,42,43,44,45,46,47,48,39,40,41,42,43,44,45,46,47,48,49,49,49,49,49,49,13,14,14,15,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,20,19,18,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,8,8,8,8,8,8,8,8,7,8,8,8,8,8,8,7,8,8,8,8,8,8,8,8,8,8,8,45,46,47,48,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,7,8,8,8,8,8,8,9,8,8,8,8,8,8,8,8,8,8,8"
